Part Number	Material Description
463E1-05G772-2202A	ISO-VLTB 2013 EN ISO
463E1-052312-7676E	ESD:VLTB 2013 32/64Bit WIN EN CLIENT
463E1-054566-3143E	ESD:VLTB 2013 32/64Bit WIN EN SERVER
463E1-052850-6458E	DLM:VLTB 2013 32/64Bit EN CLIENT
463E1-052401-9483E	DLM:VLTB 2013 32/64Bit EN SERVER
463E1-055691-2827E	WI:VLTB 2013 32/64Bit EN CLIENT
463E1-059869-1784E	WI:VLTB 2013 32/64Bit EN SERVER
463E1-12G772-2202A	ISO-VLTB 2013 DE ISO
463E1-122084-6895E	ESD:VLTB 2013 32/64Bit WIN DE SERVER
463E1-128527-4418E	DLM:VLTB 2013 32/64Bit DE
463E1-124519-4239E	DLM:VLTB 2013 32/64Bit DE SERVER
463E1-125646-9508E	WI:VLTB 2013 32/64Bit DE
463E1-128528-9973E	WI:VLTB 2013 32/64Bit DE SERVER
463E1-11G772-2202A	ISO-VLTB 2013 FR ISO
463E1-116687-9701E	ESD:VLTB 2013 32/64Bit WIN FR SERVER
463E1-117434-2013E	DLM:VLTB 2013 32/64Bit FR
463E1-113964-2037E	DLM:VLTB 2013 32/64Bit FR SERVER
463E1-113840-6839E	WI:VLTB 2013 32/64Bit FR
463E1-115292-5605E	WI:VLTB 2013 32/64Bit FR SERVER
463E1-16G772-2202A	ISO-VLTB 2013 IT ISO
463E1-165298-8467E	ESD:VLTB 2013 32/64Bit WIN IT SERVER
463E1-162107-5943E	DLM:VLTB 2013 32/64Bit IT
463E1-162370-9694E	DLM:VLTB 2013 32/64Bit IT SERVER
463E1-165569-9420E	WI:VLTB 2013 32/64Bit IT
463E1-166312-1463E	WI:VLTB 2013 32/64Bit IT SERVER
463E1-21G493-3488A	ISO-VLTB 2013 ES ISO
463E1-212364-4205E	ESD:VLTB 2013 32/64Bit WIN ES SERVER
463E1-217635-3109E	DLM:VLTB 2013 32/64Bit ES
463E1-211218-2311E	DLM:VLTB 2013 32/64Bit ES SERVER
463E1-218693-4988E	WI:VLTB 2013 32/64Bit ES
463E1-211285-6248E	WI:VLTB 2013 32/64Bit ES SERVER
463E1-30G772-2202A	ISO-VLTB 2013 KJ ISO
463E1-302954-2483E	ESD:VLTB 2013 32/64Bit WIN KJ SERVER
463E1-305669-4382E	DLM:VLTB 2013 32/64Bit KJ
463E1-308467-4600E	DLM:VLTB 2013 32/64Bit KJ SERVER
463E1-308231-6488E	WI:VLTB 2013 32/64Bit KJ
463E1-307116-4580E	WI:VLTB 2013 32/64Bit KJ SERVER
463E1-27G772-2202A	ISO-VLTB 2013 KO ISO
463E1-275032-7997E	ESD:VLTB 2013 32/64Bit WIN KO SERVER
463E1-275442-9951E	DLM:VLTB 2013 32/64Bit KO
463E1-273510-5405E	DLM:VLTB 2013 32/64Bit KO SERVER
463E1-273166-6930E	WI:VLTB 2013 32/64Bit KO
463E1-279792-2757E	WI:VLTB 2013 32/64Bit KO SERVER
463E1-52G772-2202A	ISO-VLTB 2013 SC ISO
463E1-523346-8902E	ESD:VLTB 2013 32/64Bit WIN SC SERVER
463E1-521137-7413E	DLM:VLTB 2013 32/64Bit SC
463E1-528428-8723E	DLM:VLTB 2013 32/64Bit SC SERVER
463E1-521099-5249E	WI:VLTB 2013 32/64Bit SC
463E1-525387-1429E	WI:VLTB 2013 32/64Bit SC SERVER
463E1-26G772-2202A	ISO-VLTB 2013 TC ISO
463E1-268658-3930E	ESD:VLTB 2013 32/64Bit WIN TC SERVER
463E1-268953-3170E	DLM:VLTB 2013 32/64Bit TC
463E1-262408-4239E	DLM:VLTB 2013 32/64Bit TC SERVER
463E1-261039-6969E	WI:VLTB 2013 32/64Bit TC
463E1-267517-4962E	WI:VLTB 2013 32/64Bit TC SERVER
463E1-29G772-2202A	ISO-VLTB 2013 CS ISO
463E1-292274-3527E	ESD:VLTB 2013 32/64Bit WIN CS SERVER
463E1-293176-8864E	DLM:VLTB 2013 32/64Bit CS
463E1-291756-7679E	DLM:VLTB 2013 32/64Bit CS SERVER
463E1-295167-4137E	WI:VLTB 2013 32/64Bit CS
463E1-293108-3745E	WI:VLTB 2013 32/64Bit CS SERVER
463E1-18G772-2202A	ISO-VLTB 2013 PL ISO
463E1-184001-4076E	ESD:VLTB 2013 32/64Bit WIN PL SERVER
463E1-186105-8495E	DLM:VLTB 2013 32/64Bit PL
463E1-187666-7540E	DLM:VLTB 2013 32/64Bit PL SERVER
463E1-181021-2381E	WI:VLTB 2013 32/64Bit PL
463E1-182290-3664E	WI:VLTB 2013 32/64Bit PL SERVER
463E1-20G493-3488A	ISO-VLTB 2013 RU ISO
463E1-201620-3621E	ESD:VLTB 2013 32/64Bit WIN RU SERVER
463E1-206107-6411E	DLM:VLTB 2013 32/64Bit RU
463E1-206567-7726E	DLM:VLTB 2013 32/64Bit RU SERVER
463E1-204565-6728E	WI:VLTB 2013 32/64Bit RU
463E1-207334-6803E	WI:VLTB 2013 32/64Bit RU SERVER
463E1-58G772-2202A	ISO-VLTB 2013 BZ ISO
463E1-583896-5384E	ESD:VLTB 2013 32/64Bit WIN BZ SERVER
463E1-585945-3306E	DLM:VLTB 2013 32/64Bit BZ
463E1-587291-5928E	DLM:VLTB 2013 32/64Bit BZ SERVER
463E1-582718-4450E	WI:VLTB 2013 32/64Bit BZ
463E1-586294-2559E	WI:VLTB 2013 32/64Bit BZ SERVER
463E1-141618-3324E	DLM:VLTB 2013 32/64Bit HU
463E1-147239-7570E	DLM:VLTB 2013 32/64Bit HU SERVER
463E1-145520-4026E	WI:VLTB 2013 32/64Bit HU
463E1-148194-2598E	WI:VLTB 2013 32/64Bit HU SERVER
569E1-05G560-8464A	ISO-VLTPRO 2013 EN ISO SERVER
569E1-05G110-8350A	ISO-VLTPRO 2013 EN ISO CLIENT
569E1-054953-4034E	ESD:VLTPRO 2013 32/64Bit EN CLIENT
569E1-059354-7479E	ESD:VLTPRO 2013 32/64Bit EN SERVER
569E1-053620-4015E	DLM:VLTPRO 2013 32/64Bit EN CLIENT
569E1-052966-5375E	DLM:VLTPRO 2013 32/64Bit EN SERVER
569E1-051501-7020E	WI:VLTPRO 2013 32/64Bit EN CLIENT
569E1-057155-2290E	WI:VLTPRO 2013 32/64Bit EN SERVER
569E1-12G560-8464A	ISO-VLTPRO 2013 DE ISO SERVER
569E1-12G110-8350A	ISO-VLTPRO 2013 DE ISO CLIENT
569E1-122417-1057E	ESD:VLTPRO 2013 32/64Bit DE CLNT
569E1-129944-7405E	ESD:VLTPRO 2013 32/64Bit DE SERVER
569E1-126411-4706E	DLM:VLTPRO 2013 32/64Bit DE CLNT
569E1-127772-1475E	DLM:VLTPRO 2013 32/64Bit DE SERVER
569E1-129882-7246E	WI:VLTPRO 2013 32/64Bit DE CLNT
569E1-123777-9549E	WI:VLTPRO 2013 32/64Bit DE SERVER
569E1-11G560-8464A	ISO-VLTPRO 2013 FR ISO SERVER
569E1-11G110-8350A	ISO-VLTPRO 2013 FR ISO CLIENT
569E1-115505-2644E	ESD:VLTPRO 2013 32/64Bit FR CLNT
569E1-113876-4742E	ESD:VLTPRO 2013 32/64Bit FR SERVER
569E1-115610-9362E	DLM:VLTPRO 2013 32/64Bit FR CLNT
569E1-116538-1030E	DLM:VLTPRO 2013 32/64Bit FR SERVER
569E1-114828-1979E	WI:VLTPRO 2013 32/64Bit FR CLNT
569E1-117295-9689E	WI:VLTPRO 2013 32/64Bit FR SERVER
569E1-16G560-8464A	ISO-VLTPRO 2013 IT ISO SERVER
569E1-16G110-8350A	ISO-VLTPRO 2013 IT ISO CLIENT
569E1-165060-4773E	ESD:VLTPRO 2013 32/64Bit IT CLNT
569E1-166562-6585E	ESD:VLTPRO 2013 32/64Bit IT SERVER
569E1-169351-8334E	DLM:VLTPRO 2013 32/64Bit IT CLNT
569E1-162187-4961E	DLM:VLTPRO 2013 32/64Bit IT SERVER
569E1-169642-1535E	WI:VLTPRO 2013 32/64Bit IT CLNT
569E1-169158-1307E	WI:VLTPRO 2013 32/64Bit IT SERVER
569E1-30G560-8464A	ISO-VLTPRO 2013 KJ ISO SERVER
569E1-30G110-8350A	ISO-VLTPRO 2013 KJ ISO CLIENT
569E1-309672-2958E	ESD:VLTPRO 2013 32/64Bit KJ CLNT
569E1-307860-9643E	ESD:VLTPRO 2013 32/64Bit KJ SERVER
569E1-304556-6611E	DLM:VLTPRO 2013 32/64Bit KJ CLNT
569E1-304684-6023E	DLM:VLTPRO 2013 32/64Bit KJ SERVER
569E1-306449-4364E	WI:VLTPRO 2013 32/64Bit KJ CLNT
569E1-307986-7249E	WI:VLTPRO 2013 32/64Bit KJ SERVER
569E1-27G560-8464A	ISO-VLTPRO 2013 KO ISO CLIENT
569E1-27G110-8350A	ISO-VLTPRO 2013 KO ISO SERVER
569E1-278667-9560E	ESD:VLTPRO 2013 32/64Bit KO CLNT
569E1-278545-5504E	ESD:VLTPRO 2013 32/64Bit KO SERVER
569E1-275473-5927E	DLM:VLTPRO 2013 32/64Bit KO CLNT
569E1-272327-8746E	DLM:VLTPRO 2013 32/64Bit KO SERVER
569E1-272801-9267E	WI:VLTPRO 2013 32/64Bit KO CLNT
569E1-276802-8949E	WI:VLTPRO 2013 32/64Bit KO SERVER
569E1-52G560-8464A	ISO-VLTPRO 2013 SC ISO SERVER
569E1-52G110-8350A	ISO-VLTPRO 2013 SC ISO CLIENT
569E1-524996-2700E	ESD:VLTPRO 2013 32/64Bit SC CLNT
569E1-523427-6430E	ESD:VLTPRO 2013 32/64Bit SC SERVER
569E1-525581-9513E	DLM:VLTPRO 2013 32/64Bit SC CLNT
